"","x"
"1","GB_GCA_003218305.1 "
"2","GB_GCA_003134785.1 "
"3","RS_GCF_003182155.1 "
"4","RS_GCF_900112615.1 "
"5","RS_GCF_009758125.1 "
"6","RS_GCF_900110995.1 "
"7","RS_GCF_007896845.1 "
"8","RS_GCF_000024005.1 "
"9","RS_GCF_010093065.1 "
"10","RS_GCF_009758205.1 "
"11","RS_GCF_003014595.1 "
"12","RS_GCF_900114995.1 "
"13","RS_GCF_003958645.1 "
"14","RS_GCF_900142925.1 "
"15","GB_GCA_903879995.1 "
"16","GB_GCA_014190475.1 "
"17","RS_GCF_002265635.1 "
"18","RS_GCF_001591565.1 "
"19","RS_GCF_000832985.1 "
"20","RS_GCF_009497655.1 "
"21","RS_GCF_000956595.1 "
"22","RS_GCF_008180335.1 "
"23","RS_GCF_001274935.1 "
"24","RS_GCF_008764295.1 "
"25","RS_GCF_005280205.1 "
"26","RS_GCF_008710145.1 "
"27","RS_GCF_009183415.1 "
"28","RS_GCF_001076885.1 "
"29","RS_GCF_003350505.1 "
"30","RS_GCF_002019595.1 "
"31","RS_GCF_005502275.1 "
"32","RS_GCF_001591585.1 "
"33","RS_GCF_003726095.1 "
"34","RS_GCF_003184905.1 "
"35","RS_GCF_900199695.1 "
"36","RS_GCF_014207535.1 "
"37","RS_GCF_003182355.1 "
"38","RS_GCF_007483665.1 "
"39","RS_GCF_003610235.1 "
"40","RS_GCF_900091565.1 "
"41","RS_GCF_009720385.1 "
"42","RS_GCF_009720365.1 "
"43","RS_GCF_011297335.1 "
"44","RS_GCF_013694245.1 "
"45","RS_GCF_900090105.1 "
"46","RS_GCF_008868155.1 "
"47","RS_GCF_902825405.1 "
"48","RS_GCF_002926165.1 "
"49","RS_GCF_900089585.1 "
"50","RS_GCF_003027925.1 "
"51","RS_GCF_900091515.1 "
"52","RS_GCF_900090245.1 "
"53","RS_GCF_000145235.1 "
"54","RS_GCF_900090295.1 "
"55","RS_GCF_011927785.1 "
"56","RS_GCF_900091595.1 "
"57","RS_GCF_900091535.1 "
"58","RS_GCF_006228125.1 "
"59","RS_GCF_002210435.1 "
"60","RS_GCF_003857015.1 "
"61","RS_GCF_003857035.1 "
"62","RS_GCF_003857405.1 "
"63","RS_GCF_900091425.1 "
"64","RS_GCF_900091555.1 "
"65","RS_GCF_004348325.1 "
"66","RS_GCF_900090305.1 "
"67","RS_GCF_003264365.1 "
"68","RS_GCF_012933445.1 "
"69","RS_GCF_003762835.1 "
"70","RS_GCF_000718555.1 "
"71","RS_GCF_004362215.1 "
"72","RS_GCF_003205615.1 "
"73","RS_GCF_000297395.2 "
"74","RS_GCF_003711105.1 "
"75","RS_GCF_000718515.1 "
"76","RS_GCF_014204895.1 "
"77","RS_GCF_900090275.1 "
"78","RS_GCF_003857055.1 "
"79","RS_GCF_900091525.1 "
"80","RS_GCF_004217135.1 "
"81","RS_GCF_900091505.1 "
"82","RS_GCF_003999975.1 "
"83","RS_GCF_014201145.1 "
"84","RS_GCF_011947235.1 "
"85","RS_GCF_011947225.1 "
"86","RS_GCF_011947195.1 "
"87","RS_GCF_900090265.1 "
"88","GB_GCA_002748455.1 "
"89","GB_GCA_013821025.1 "
"90","RS_GCF_004364865.1 "
"91","GB_GCA_013213745.1 "
"92","RS_GCF_014083885.1 "
"93","RS_GCF_008000755.1 "
"94","RS_GCF_003994485.1 "
"95","RS_GCF_005222805.1 "
"96","RS_GCF_900119845.1 "
"97","RS_GCF_001425235.1 "
"98","RS_GCF_001402915.1 "
"99","RS_GCF_011058215.1 "
"100","RS_GCF_004005995.1 "
"101","RS_GCF_000970465.2 "
"102","RS_GCF_003056355.1 "
"103","RS_GCF_900091615.1 "
"104","RS_GCF_900143515.1 "
"105","RS_GCF_004345505.1 "
"106","RS_GCF_003434305.1 "
"107","RS_GCF_900091445.1 "
"108","RS_GCF_009910705.1 "
"109","RS_GCF_003350535.1 "
"110","RS_GCF_009830105.1 "
"111","RS_GCF_003332305.1 "
"112","RS_GCF_003075415.1 "
"113","RS_GCF_001017175.1 "
"114","RS_GCF_000739015.1 "
"115","RS_GCF_014191055.1 "
"116","RS_GCF_003151255.1 "
"117","RS_GCF_000518665.1 "
"118","GB_GCA_000517005.1 "
"119","RS_GCF_900102135.1 "
"120","RS_GCF_008757455.1 "
"121","RS_GCF_009363855.1 "
"122","RS_GCF_013520865.1 "
"123","RS_GCF_000262405.1 "
"124","RS_GCF_002741015.1 "
"125","RS_GCF_003591035.1 "
"126","RS_GCF_001040945.1 "
"127","RS_GCF_000282135.1 "
"128","RS_GCF_002213415.1 "
"129","RS_GCF_000282575.1 "
"130","RS_GCF_006715495.1 "
"131","RS_GCF_009497155.1 "
"132","RS_GCF_002257565.1 "
"133","RS_GCF_011947285.1 "
"134","RS_GCF_000577615.1 "
"135","RS_GCF_004134995.1 "
"136","GB_GCA_014635705.1 "
"137","GB_GCA_014635845.1 "
"138","RS_GCF_000158475.2 "
"139","RS_GCF_013426985.1 "
"140","RS_GCF_000256565.1 "
"141","RS_GCF_014192645.1 "
"142","RS_GCF_000300975.2 "
"143","GB_GCA_003223455.1 "
"144","RS_GCF_002294985.1 "
"145","RS_GCF_900115245.1 "
"146","GB_GCA_004020545.1 "
"147","RS_GCF_006440775.1 "
"148","GB_GCA_004963905.1 "
"149","RS_GCF_003601975.1 "
"150","RS_GCF_002294725.1 "
"151","RS_GCF_006442965.1 "
"152","RS_GCF_001686985.1 "
"153","RS_GCF_001510895.1 "
"154","RS_GCF_003289945.1 "
"155","RS_GCF_006440735.1 "
"156","RS_GCF_006442795.1 "
"157","RS_GCF_004791025.1 "
"158","RS_GCF_003952525.1 "
"159","RS_GCF_003952485.1 "
"160","RS_GCF_003952465.1 "
"161","RS_GCF_004791585.1 "
"162","RS_GCF_003952505.1 "
"163","RS_GCF_004791165.1 "
"164","RS_GCF_004022705.2 "
"165","RS_GCF_900199455.1 "
"166","RS_GCF_000176035.2 "
"167","RS_GCF_002356515.1 "
"168","RS_GCF_014189455.1 "
"169","RS_GCF_006442205.1 "
"170","RS_GCF_000824805.1 "
"171","RS_GCF_000009625.1 "
"172","RS_GCF_000824845.1 "
"173","GB_GCA_004020875.1 "
"174","RS_GCF_000472705.1 "
"175","RS_GCF_006439355.1 "
"176","RS_GCF_003601985.1 "
"177","RS_GCF_000824825.2 "
"178","RS_GCF_008520305.1 "
"179","RS_GCF_003353565.1 "
"180","RS_GCF_006442815.1 "
"181","RS_GCF_006439515.1 "
"182","RS_GCF_003952425.1 "
"183","RS_GCF_003289965.1 "
"184","RS_GCF_000824785.1 "
"185","GB_GCA_002200945.1 "
"186","RS_GCF_002295115.1 "
"187","RS_GCF_013170825.1 "
"188","RS_GCF_003952385.1 "
"189","RS_GCF_004016445.2 "
"190","RS_GCF_002879535.1 "
"191","RS_GCF_006442315.1 "
"192","RS_GCF_002295065.1 "
"193","RS_GCF_002294995.1 "
"194","RS_GCF_006658505.1 "
"195","RS_GCF_005503535.1 "
"196","RS_GCF_013170705.1 "
"197","RS_GCF_006440675.1 "
"198","RS_GCF_004791255.1 "
"199","RS_GCF_006442685.1 "
"200","GB_GCA_004017535.1 "
"201","RS_GCF_003403035.1 "
"202","RS_GCF_004010325.2 "
"203","RS_GCF_900472585.1 "
"204","GB_GCA_004962245.1 "
"205","RS_GCF_013520985.1 "
"206","RS_GCF_000503055.1 "
"207","RS_GCF_003863365.1 "
"208","RS_GCF_007003975.1 "
"209","RS_GCF_000427725.1 "
"210","RS_GCF_000502715.1 "
"211","GB_GCA_005063415.1 "
"212","RS_GCF_003034915.1 "
"213","RS_GCF_003952365.1 "
"214","RS_GCF_000359125.1 "
"215","RS_GCF_000502835.1 "
"216","RS_GCF_000350085.1 "
"217","RS_GCF_007830515.1 "
"218","GB_GCA_004020645.1 "
"219","RS_GCF_001427025.1 "
"220","RS_GCF_002284565.1 "
"221","RS_GCF_002284575.1 "
"222","RS_GCF_900156895.1 "
"223","GB_GCA_004962925.1 "
"224","GB_GCA_004020365.1 "
"225","RS_GCF_002284535.1 "
