"","In","Out","Denoised FW","Denoised RE","Merged","Sizeout","Chimera Filtered","Final_Clean_Of_Rare_Seq_and_Plastids","Archea_out"
"FS.CT.Ext.C1.2020.trimmed_cutadapt_1.fq",144884,116003,108848,108066,87241,87227,81338,62046,62046
"FS.CT.Ext.C2.2020.trimmed_cutadapt_1.fq",140876,111386,103319,103241,84581,84488,79584,60080,60080
"FS.CT.Ext.C3.2020.trimmed_cutadapt_1.fq",141992,114077,107755,107533,90871,90834,85200,58663,58663
"FS.CT.Ext.C4.2020.trimmed_cutadapt_1.fq",135922,103736,92704,92928,62850,62825,39874,19037,19037
"FS.CT.Int.C1.2020.trimmed_cutadapt_1.fq",128412,103178,97297,97011,82497,82467,78041,56841,56841
"FS.CT.Int.C2.2020.trimmed_cutadapt_1.fq",129598,104663,97289,96954,79803,79755,74164,54416,54416
"FS.CT.Int.C3.2020.trimmed_cutadapt_1.fq",135256,100644,93478,92678,72777,72730,67555,49430,49430
"FS.CT.Int.C4.2020.trimmed_cutadapt_1.fq",139815,109056,101952,101657,84062,84019,79026,56547,56547
"FS.MP.Ext.C1.2020.trimmed_cutadapt_1.fq",139261,103816,96810,96450,77117,77099,72204,52036,52036
"FS.MP.Ext.C2.2020.trimmed_cutadapt_1.fq",131915,99805,94743,93813,79345,79331,74704,54697,54697
"FS.MP.Ext.C3.2020.trimmed_cutadapt_1.fq",143894,106924,101330,100340,83941,83933,79694,62380,62380
"FS.MP.Ext.C4.2020.trimmed_cutadapt_1.fq",130049,100511,89338,88690,59288,59269,42528,22469,22469
"FS.MP.Int.C1.2020.trimmed_cutadapt_1.fq",116903,85608,79693,79377,63216,63196,59416,41377,41377
"FS.MP.Int.C2.2020.trimmed_cutadapt_1.fq",143391,107607,100812,100065,80189,80166,75138,53778,53778
"FS.MP.Int.C3.2020.trimmed_cutadapt_1.fq",134037,99937,93707,92558,74147,74124,69544,52142,52142
"FS.MP.Int.C4.2020.trimmed_cutadapt_1.fq",132817,99319,92342,92049,73615,73574,68789,48955,48955
"RH.CT.Ext.C1.2020.trimmed_cutadapt_1.fq",142528,105851,98299,97788,78326,78243,72834,53883,53883
"RH.CT.Ext.C2.2020.trimmed_cutadapt_1.fq",135369,100629,93593,92741,74808,74732,69588,52904,52904
"RH.CT.Ext.C3.2020.trimmed_cutadapt_1.fq",116686,86322,81304,80811,67276,67256,63392,48861,48861
"RH.CT.Ext.C4.2020.trimmed_cutadapt_1.fq",139110,103368,96706,96265,81218,81156,77074,55836,55836
"RH.CT.Int.C1.2020.trimmed_cutadapt_1.fq",132167,96393,89163,88672,70145,70089,65445,52348,52348
"RH.CT.Int.C2.2020.trimmed_cutadapt_1.fq",117110,83254,76981,76678,60336,60302,56000,42989,42989
"RH.CT.Int.C3.2020.trimmed_cutadapt_1.fq",132749,97878,92538,91283,74469,74456,69939,55090,55090
"RH.CT.Int.C4.2020.trimmed_cutadapt_1.fq",118801,85355,79220,78478,62038,62009,57815,45657,45657
"RH.MP.Ext.C1.2020.trimmed_cutadapt_1.fq",139185,100081,92052,91971,72430,72350,67526,51786,51786
"RH.MP.Ext.C2.2020.trimmed_cutadapt_1.fq",134812,97349,87435,88124,69014,68796,63958,47695,47695
"RH.MP.Ext.C3.2020.trimmed_cutadapt_1.fq",145903,107210,100782,99839,81238,81212,76227,59649,59649
"RH.MP.Ext.C4.2020.trimmed_cutadapt_1.fq",135780,97099,87773,87189,68840,68688,64218,49053,49053
"RH.MP.Int.C1.2020.trimmed_cutadapt_1.fq",138874,104719,96385,93994,72128,72101,67537,52479,52479
"RH.MP.Int.C2.2020.trimmed_cutadapt_1.fq",142599,108359,102338,101801,86116,86029,81579,62286,62286
"RH.MP.Int.C3.2020.trimmed_cutadapt_1.fq",137817,104485,97679,97071,76817,76792,71568,55582,55582
"RH.MP.Int.C4.2020.trimmed_cutadapt_1.fq",146340,108844,100302,99684,79669,79567,74198,55335,55335
"FSCTExtC1.2021.trimmed_cutadapt_1.fq",111281,96963,90882,90179,74058,74040,69465,50879,50879
"FSCTExtC2.2021.trimmed_cutadapt_1.fq",116328,102352,96043,96199,78797,78740,73839,53458,53458
"FSCTExtC3.2021.trimmed_cutadapt_1.fq",119365,104934,98251,97479,79446,79426,74136,54096,54096
"FSCTExtC4.2021.trimmed_cutadapt_1.fq",113416,99128,89979,89304,65308,65262,59976,45065,45065
"FSCTIntC1.2021.trimmed_cutadapt_1.fq",110387,97791,92240,91955,76757,76740,72111,54144,54144
"FSCTIntC2.2021.trimmed_cutadapt_1.fq",106943,93479,87558,87061,70876,70860,66344,51384,51384
"FSCTIntC3.2021.trimmed_cutadapt_1.fq",113131,98787,92699,92002,73850,73830,68801,53552,53552
"FSCTIntC4.2021.trimmed_cutadapt_1.fq",113818,100146,94157,93737,77351,77335,72932,56372,56372
"FSMPExtC1.2021.trimmed_cutadapt_1.fq",112007,98640,92287,91674,74245,74229,69065,47209,47209
"FSMPExtC2.2021.trimmed_cutadapt_1.fq",109335,95381,89190,88660,71851,71839,67026,49051,49051
"FSMPExtC3.2021.trimmed_cutadapt_1.fq",109553,94938,88709,87985,70815,70784,65676,49266,49266
"FSMPExtC4.2021.trimmed_cutadapt_1.fq",104281,91161,85091,84835,68466,68444,63871,47128,47128
"FSMPIntC1.2021.trimmed_cutadapt_1.fq",118976,104337,98087,97614,80096,80060,75376,54288,54288
"FSMPIntC2.2021.trimmed_cutadapt_1.fq",118193,103626,97244,97021,79801,79777,75038,55677,55677
"FSMPIntC3.2021.trimmed_cutadapt_1.fq",105212,92632,86517,85524,69100,69092,64547,47211,47211
"FSMPIntC4.2021.trimmed_cutadapt_1.fq",102540,89779,83554,82954,66426,66380,61765,43191,43191
"RHCTExtC1.2021.trimmed_cutadapt_1.fq",116464,104203,97319,97056,79204,79177,73312,58119,58119
"RHCTExtC2.2021.trimmed_cutadapt_1.fq",114548,101826,95547,94965,78043,78008,72855,57269,57269
"RHCTExtC3.2021.trimmed_cutadapt_1.fq",100381,89707,83160,82705,64965,64940,59587,47665,47665
"RHCTExtC4.2021.trimmed_cutadapt_1.fq",111808,96926,89991,89457,70862,70841,65159,52922,52922
"RHCTIntC1.2021.trimmed_cutadapt_1.fq",115006,99912,93378,92335,73967,73946,68045,54043,54043
