"","Variable","R","original","bootBias","bootSE","bootMed","pval","lower","upper","Nutrient"
"1","TILLAGE2",10000,-2.31385971928794,0.00117488685257072,0.190450683274539,-2.31284742394037,0,-2.68648099657728,-1.94072907931131,"OM[%]"
"2","FERTILIZATION2",10000,0.58439260087024,-0.000553290596575495,0.191822720870116,0.585279981014156,0.00219999999999998,0.204623063848956,0.965519457386056,"OM[%]"
"3","as.factor(Experimental_Year)2020",10000,-0.202055720669864,-0.00055390041584169,0.191434274967423,-0.202801819438877,0.293,-0.579769527759809,0.174935821030054,"OM[%]"
"4","as.factor(Experimental_Year)2021",10000,-0.146511081176288,0.000348486118067592,0.192185206153847,-0.146511081176287,0.4586,-0.517084631815452,0.231075675777156,"OM[%]"
"5","TILLAGE2:FERTILIZATION2",10000,-0.197153427439761,-0.00260093983926146,0.269352994901167,-0.198057540749274,0.459,-0.729758176927593,0.331247645368282,"OM[%]"
"6","TILLAGE2:as.factor(Experimental_Year)2020",10000,1.36960084789715,-0.00107456912536996,0.272056037358242,1.3670455457282,0,0.831027518403486,1.90852761842998,"OM[%]"
"7","TILLAGE2:as.factor(Experimental_Year)2021",10000,0.647520534480674,-0.00153859391061917,0.271529125929786,0.646567603483124,0.0176000000000001,0.110635673285463,1.18259719426447,"OM[%]"
"8","FERTILIZATION2:as.factor(Experimental_Year)2020",10000,-0.417758682389514,0.000596150012394214,0.2701430952185,-0.416190580581934,0.1188,-0.94972025971134,0.110160038712373,"OM[%]"
"9","FERTILIZATION2:as.factor(Experimental_Year)2021",10000,-0.0844908454280614,0.00067998834473311,0.268108242233994,-0.0853788291692852,0.7488,-0.608296173162814,0.442689060697152,"OM[%]"
"10","TILLAGE2:FERTILIZATION2:as.factor(Experimental_Year)2020",10000,-0.0805697700281159,0.00251546159002998,0.378569960683588,-0.0809600206691832,0.8388,-0.826462003678135,0.653762021079818,"OM[%]"
"11","TILLAGE2:FERTILIZATION2:as.factor(Experimental_Year)2021",10000,-0.247203688508842,0.00253871710332465,0.378371051692517,-0.245130682235257,0.5156,-0.975224439824149,0.502890744546855,"OM[%]"
"12","TILLAGE2",10000,-2.14221916891747,-0.000756315285275644,0.187619947716873,-2.14221916891747,0,-2.51435693591288,-1.77281770903233,"N[%]"
"13","FERTILIZATION2",10000,0.341238451685968,0.000881911781636602,0.189242721443328,0.341238451685969,0.0720000000000001,-0.0336356224196988,0.707903604460855,"N[%]"
"14","as.factor(Experimental_Year)2020",10000,-0.236971147004147,0.000461067748079164,0.190726991816545,-0.236971147004147,0.22,-0.600899992668774,0.137902927101522,"N[%]"
"15","as.factor(Experimental_Year)2021",10000,0.616124982210777,-0.000770544082248859,0.186621044728175,0.616124982210777,0.00120000000000009,0.246655114647872,0.982790134985665,"N[%]"
"16","TILLAGE2:FERTILIZATION2",10000,-0.0189576917603303,0.000896140578610823,0.266422180572968,-0.01895769176033,0.946,-0.530647121379016,0.511885887630178,"N[%]"
"17","TILLAGE2:as.factor(Experimental_Year)2020",10000,1.19433458090089,-0.000435346461242325,0.267736434989821,1.19433458090089,0,0.666227308620646,1.71156503241786,"N[%]"
"18","TILLAGE2:as.factor(Experimental_Year)2021",10000,0.625603828090944,-0.00063236057318139,0.263943924920888,0.625603828090945,0.0164,0.105637069463719,1.14283427960791,"N[%]"
"19","FERTILIZATION2:as.factor(Experimental_Year)2020",10000,-0.151661534082652,-0.00118755728585274,0.267178525149293,-0.151661534082652,0.5608,-0.671628292709876,0.379182045307858,"N[%]"
"20","FERTILIZATION2:as.factor(Experimental_Year)2021",10000,0.322280759925638,-0.0011881045472748,0.266861664238662,0.316808145705118,0.2202,-0.200353898134089,0.844915417985367,"N[%]"
"21","TILLAGE2:FERTILIZATION2:as.factor(Experimental_Year)2020",10000,-0.0758307670413279,-0.00174111221425914,0.376469126747295,-0.0785670741515873,0.8338,-0.820106301032146,0.652095331965682,"N[%]"
"22","TILLAGE2:FERTILIZATION2:as.factor(Experimental_Year)2021",10000,-0.45498460224796,-1.36815355550324e-06,0.374544021012255,-0.457720909358221,0.229,-1.18284229357721,0.278345703301813,"N[%]"
