"","Sach_genes","gene_No","tax.Phylum","Category","till2","t1","Soil_Type","genome"
"1",559,1246,"Actinobacteriota","Glucose","CT","total","RAS","GCA_002748455.1"
"2",559,1246,"Actinobacteriota","Glucose","CT","total","RH","GCA_002748455.1"
"3",559,1246,"Actinobacteriota","Glucose","MP","total","RAS","GCA_002748455.1"
"4",576,1546,"Proteobacteria","Glucose","CT","total","RAS","GCA_903882525.1"
"5",899,1695,"Bacteroidota","Glucose","CT","total","RAS","GCA_014190475.1"
"6",899,1695,"Bacteroidota","Glucose","MP","total","RH","GCA_014190475.1"
"7",859,1880,"Actinobacteriota","Glucose","CT","total","RAS","GCA_002280615.1"
"8",859,1880,"Actinobacteriota","Glucose","MP","total","RH","GCA_002280615.1"
"9",742,1890,"Bacteroidota","Glucose","CT","total","RAS","GCA_903879995.1"
"10",742,1890,"Bacteroidota","Glucose","MP","total","RAS","GCA_903879995.1"
"11",742,1890,"Bacteroidota","Glucose","MP","total","RH","GCA_903879995.1"
"12",774,1920,"Actinobacteriota","Glucose","CT","total","RH","GCA_002711735.1"
"13",1020,2034,"Proteobacteria","Glucose","CT","total","RAS","GCF_000278275.1"
"14",756,2061,"Proteobacteria","Glucose","CT","total","RAS","GCA_013816325.1"
"15",787,2157,"Proteobacteria","Glucose","CT","total","RAS","GCF_011302055.1"
"16",787,2157,"Proteobacteria","Glucose","CT","total","RH","GCF_011302055.1"
"17",787,2157,"Proteobacteria","Glucose","MP","total","RAS","GCF_011302055.1"
"18",787,2157,"Proteobacteria","Glucose","MP","total","RH","GCF_011302055.1"
"19",801,2163,"Proteobacteria","Glucose","CT","total","RAS","GCA_002291925.1"
"20",801,2163,"Proteobacteria","Glucose","MP","total","RAS","GCA_002291925.1"
"21",801,2163,"Proteobacteria","Glucose","MP","total","RH","GCA_002291925.1"
"22",922,2206,"Actinobacteriota","Glucose","CT","total","RAS","GCF_014137865.1"
"23",1029,2239,"Proteobacteria","Glucose","MP","total","RAS","GCF_004331795.1"
"24",821,2241,"Proteobacteria","Glucose","CT","total","RAS","GCF_007998985.1"
"25",821,2241,"Proteobacteria","Glucose","CT","total","RH","GCF_007998985.1"
"26",821,2241,"Proteobacteria","Glucose","MP","total","RAS","GCF_007998985.1"
"27",821,2241,"Proteobacteria","Glucose","MP","total","RH","GCF_007998985.1"
"28",936,2242,"Proteobacteria","Glucose","CT","total","RAS","GCF_001952075.1"
