Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
GCA_001917175.1_GCA_001917175.1_ASM191717v1_genomic	95.0	0.6	Gradient Boost (General Model)	11	0.853	104909	297.05842105263156	1980082	0.51	1900	41	267308	None
GCA_002007745.1_GCA_002007745.1_ASM200774v1_genomic	100.0	0.39	Neural Network (Specific Model)	11	0.92	6103712	307.3839607201309	6103712	0.67	6110	1	6103712	None
GCA_002050275.1_GCA_002050275.1_ASM205027v1_genomic	93.84	0.53	Gradient Boost (General Model)	11	0.924	125597	331.1399845320959	2777515	0.53	2586	34	424749	None
GCA_002342035.1_GCA_002342035.1_ASM234203v1_genomic	87.82	1.8	Neural Network (Specific Model)	11	0.898	66172	329.37936176558304	3684633	0.57	3353	102	296262	None
GCA_002343075.1_GCA_002343075.1_ASM234307v1_genomic	91.18	1.7	Gradient Boost (General Model)	11	0.875	153723	340.35260416666665	4472415	0.6	3840	67	379924	None
GCA_002582035.1_GCA_002582035.1_ASM258203v1_genomic	99.95	0.71	Neural Network (Specific Model)	11	0.817	108864	271.1229455709712	4660517	0.36	4685	117	314695	None
GCA_002754355.1_GCA_002754355.1_ASM275435v1_genomic	100.0	0.02	Neural Network (Specific Model)	11	0.88	6466763	330.5734168406402	6466763	0.59	5748	1	6466763	None
GCA_003168335.1_GCA_003168335.1_20110700_P1D_genomic	97.42	0.37	Gradient Boost (General Model)	11	0.871	551449	335.6204428539477	5160709	0.56	4471	14	984560	None
GCA_003218305.1_GCA_003218305.1_ASM321830v1_genomic	88.22	2.46	Gradient Boost (General Model)	11	0.896	17693	305.60634381195126	3604471	0.59	3531	285	71522	None
GCA_005877565.1_GCA_005877565.1_ASM587756v1_genomic	88.07	1.33	Gradient Boost (General Model)	11	0.909	11470	271.4691259021652	2227758	0.62	2494	265	52045	None
GCA_009694215.1_GCA_009694215.1_ASM969421v1_genomic	76.69	4.75	Neural Network (Specific Model)	11	0.889	21930	286.8558139534884	3534877	0.65	3655	198	102405	None
GCA_012036325.1_GCA_012036325.1_ASM1203632v1_genomic	81.25	1.59	Neural Network (Specific Model)	11	0.888	9757	243.5041696449845	3433378	0.64	4197	425	56197	None
GCA_012103375.1_GCA_012103375.1_ASM1210337v1_genomic	99.97	0.03	Neural Network (Specific Model)	11	0.895	4011077	268.10289532293984	4021902	0.61	4490	2	4011077	None
GCA_013112685.1_GCA_013112685.1_ASM1311268v1_genomic	78.41	1.88	Gradient Boost (General Model)	11	0.879	3100835	265.77571372702386	4617957	0.56	5114	2	3100835	None
GCA_013141175.1_GCA_013141175.1_ASM1314117v1_genomic	100.0	0.18	Neural Network (Specific Model)	11	0.89	4155120	350.31063829787234	4155120	0.65	3525	1	4155120	None
GCA_013694495.1_GCA_013694495.1_ASM1369449v1_genomic	87.86	1.02	Gradient Boost (General Model)	11	0.909	7349	268.937849318131	3962601	0.72	4473	665	44890	None
GCA_014171555.1_GCA_014171555.1_ASM1417155v1_genomic	99.19	0.31	Neural Network (Specific Model)	11	0.872	4415649	299.177808727948	4415649	0.67	4308	1	4415649	None
GCA_014641715.1_GCA_014641715.1_ASM1464171v1_genomic	100.0	0.24	Neural Network (Specific Model)	11	0.897	265986	315.51885598582635	4161929	0.62	3951	36	522332	None
GCA_014649915.1_GCA_014649915.1_ASM1464991v1_genomic	100.0	0.03	Neural Network (Specific Model)	11	0.873	248576	325.62063615205585	7196824	0.74	6445	53	509232	None
GCA_014650715.1_GCA_014650715.1_ASM1465071v1_genomic	100.0	0.04	Neural Network (Specific Model)	11	0.872	376825	337.60316032887977	9022007	0.71	7784	54	1122599	None
GCA_014650755.1_GCA_014650755.1_ASM1465075v1_genomic	99.32	0.4	Neural Network (Specific Model)	11	0.876	229344	318.1588074231822	7154268	0.72	6574	91	1015554	None
GCA_014656095.1_GCA_014656095.1_ASM1465609v1_genomic	100.0	0.55	Neural Network (Specific Model)	11	0.856	45204	334.03410992405713	9078602	0.74	7769	354	166447	None
GCA_902764185.1_GCA_902764185.1_Rumen_uncultured_genome_RUG10934_genomic	91.3	4.88	Gradient Boost (General Model)	11	0.89	15861	314.4014251781473	2673124	0.6	2526	239	100299	None
GCA_903882525.1_GCA_903882525.1_freshwater_MAG_---_MJ3_bin-038_genomic	88.21	0.75	Neural Network (Specific Model)	11	0.908	15513	282.67738095238093	1566891	0.44	1680	200	58984	None
GCF_000012385.1_GCF_000012385.1_ASM1238v1_genomic	99.51	1.11	Neural Network (Specific Model)	11	0.86	1522076	288.57058047493405	1522076	0.32	1516	1	1522076	None
GCF_000012905.2_GCF_000012905.2_ASM1290v2_genomic	100.0	0.01	Neural Network (Specific Model)	11	0.877	3188524	309.65709032406346	4602977	0.69	4351	7	3188524	None
GCF_000046705.1_GCF_000046705.1_ASM4670v1_genomic	100.0	0.44	Neural Network (Specific Model)	11	0.746	1931047	294.2643818849449	1931047	0.38	1634	1	1931047	None
GCF_000143825.1_GCF_000143825.1_ASM14382v1_genomic	100.0	0.31	Neural Network (Specific Model)	11	0.91	2349953	321.7115817936007	2349953	0.63	2219	1	2349953	None
GCF_000154445.1_GCF_000154445.1_ASM15444v1_genomic	99.25	1.35	Gradient Boost (General Model)	11	0.849	309578	307.5546218487395	2972256	0.29	2737	18	767394	None
GCF_000155815.1_GCF_000155815.1_ASM15581v1_genomic	99.25	0.5	Neural Network (Specific Model)	11	0.895	1194706	361.6756990487172	4197635	0.45	3469	20	1334896	None
GCF_000156655.1_GCF_000156655.1_ASM15665v1_genomic	95.79	1.07	Neural Network (Specific Model)	11	0.847	278464	297.92262651610207	2517763	0.34	2391	44	708572	None
GCF_000218545.1_GCF_000218545.1_ASM21854v1_genomic	100.0	0.06	Neural Network (Specific Model)	11	0.916	3526441	336.48502807236434	3526441	0.74	3206	1	3526441	None
GCF_000225465.1_GCF_000225465.1_ASM22546v1_genomic	99.94	0.09	Neural Network (Specific Model)	11	0.865	615380	326.5009009009009	627953	0.24	555	3	615380	None
GCF_000239155.1_GCF_000239155.1_ASM23915v2_genomic	88.82	0.68	Neural Network (Specific Model)	11	0.842	10341	305.32375333079557	5706534	0.72	5254	888	50269	None
