"","Sach_genes","gene_No","tax.Phylum","Category","till2","t1","Soil_Type","genome"
"1",23,1246,"Actinobacteriota","Sucrose","CT","t1","RAS","GCA_002748455.1"
"2",23,1246,"Actinobacteriota","Sucrose","CT","t1","RH","GCA_002748455.1"
"3",23,1246,"Actinobacteriota","Sucrose","MP","t1","RAS","GCA_002748455.1"
"4",16,1546,"Proteobacteria","Sucrose","CT","t1","RAS","GCA_903882525.1"
"5",25,1695,"Bacteroidota","Sucrose","CT","t1","RAS","GCA_014190475.1"
"6",25,1695,"Bacteroidota","Sucrose","MP","t1","RH","GCA_014190475.1"
"7",21,1880,"Actinobacteriota","Sucrose","CT","t1","RAS","GCA_002280615.1"
"8",21,1880,"Actinobacteriota","Sucrose","MP","t1","RH","GCA_002280615.1"
"9",22,1890,"Bacteroidota","Sucrose","CT","t1","RAS","GCA_903879995.1"
"10",22,1890,"Bacteroidota","Sucrose","MP","t1","RAS","GCA_903879995.1"
"11",22,1890,"Bacteroidota","Sucrose","MP","t1","RH","GCA_903879995.1"
"12",20,1920,"Actinobacteriota","Sucrose","CT","t1","RH","GCA_002711735.1"
"13",61,2034,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_000278275.1"
"14",17,2061,"Proteobacteria","Sucrose","CT","t1","RAS","GCA_013816325.1"
"15",15,2157,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_011302055.1"
"16",15,2157,"Proteobacteria","Sucrose","CT","t1","RH","GCF_011302055.1"
"17",15,2157,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_011302055.1"
"18",15,2157,"Proteobacteria","Sucrose","MP","t1","RH","GCF_011302055.1"
"19",27,2163,"Proteobacteria","Sucrose","CT","t1","RAS","GCA_002291925.1"
"20",27,2163,"Proteobacteria","Sucrose","MP","t1","RAS","GCA_002291925.1"
"21",27,2163,"Proteobacteria","Sucrose","MP","t1","RH","GCA_002291925.1"
"22",36,2206,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_014137865.1"
"23",23,2239,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_004331795.1"
"24",16,2241,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_007998985.1"
"25",16,2241,"Proteobacteria","Sucrose","CT","t1","RH","GCF_007998985.1"
"26",16,2241,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_007998985.1"
