Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
GCA_000715615.1	83.89	0.18	Neural Network (Specific Model)	11	0.751	63215	212.35994374586366	10199242	0.71	12088	325	195427	None
GCA_001724135.1	96.17	2.83	Neural Network (Specific Model)	11	0.92	137466	318.51022760011523	3598246	0.65	3471	51	610097	None
GCA_002355495.1	100.0	0.12	Neural Network (Specific Model)	11	0.866	8032664	320.66284688664916	8032664	0.72	7243	1	8032664	None
GCA_004299445.1	100.0	1.27	Gradient Boost (General Model)	11	0.907	97740	303.1533591995099	4903484	0.69	4897	95	318041	None
GCA_013816325.1	89.56	1.43	Neural Network (Specific Model)	11	0.9	12676	283.56034096007176	2103997	0.44	2229	230	35076	None
GCA_014284505.1	76.37	2.54	Gradient Boost (General Model)	11	0.787	8774294	214.8076199013895	9054065	0.72	11155	4	8774294	None
GCA_014642175.1	99.98	0.0	Neural Network (Specific Model)	11	0.914	329575	340.25620567375887	3773827	0.45	3384	29	533697	None
GCA_014645235.1	99.94	0.26	Neural Network (Specific Model)	11	0.92	2019634	321.8045891931902	2830661	0.74	2702	8	2019634	None
GCA_014646815.1	99.95	0.16	Neural Network (Specific Model)	11	0.907	611474	330.9526462395543	4707860	0.72	4308	23	847427	None
GCA_014647595.1	100.0	0.11	Neural Network (Specific Model)	11	0.908	595737	325.99375866851597	4652823	0.63	4326	23	1004908	None
GCA_014648875.1	99.99	0.03	Neural Network (Specific Model)	11	0.888	533932	337.0800792303339	8032801	0.72	7068	57	1359393	None
GCA_014649295.1	100.0	0.0	Neural Network (Specific Model)	11	0.874	504591	324.54274993299384	8295319	0.72	7462	36	916698	None
GCA_014649655.1	100.0	1.53	Neural Network (Specific Model)	11	0.865	194407	336.1810768677299	9711080	0.72	8339	181	447052	None
GCA_014649695.1	100.0	0.27	Neural Network (Specific Model)	11	0.863	327360	320.73842183892435	8199139	0.71	7363	106	960700	None
GCA_014650015.1	100.0	0.04	Neural Network (Specific Model)	11	0.868	303666	327.6579545454546	7958048	0.72	7040	206	657433	None
GCA_014650275.1	100.0	0.68	Neural Network (Specific Model)	11	0.864	333352	316.81489403072135	11285736	0.7	10286	85	935790	None
